yearmonth,javascript,java
"200808","164","227"
"200809","640","1164"
"200810","722","1160"
"200811","575","968"
"200812","626","846"
"200901","790","1164"
"200902","952","1228"
"200903","1011","1452"
"200904","1053","1556"
"200905","1440","1843"
"200906","1561","2128"
"200907","1754","2301"
"200908","1866","2214"
"200909","1748","2289"
"200910","2036","2527"
"200911","2231","2785"
"200912","2303","2711"
"201001","2619","3764"
"201002","2648","3625"
"201003","2983","4495"
"201004","3031","3937"
"201005","3231","4221"
"201006","3502","4357"
"201007","3906","4590"
"201008","4053","4797"
"201009","4069","4797"
"201010","4175","5118"
"201011","4617","5694"
"201012","5028","5789"
"201101","5510","6669"
"201102","5670","7015"
"201103","6861","8652"
"201104","7030","8043"
"201105","7388","8734"
"201106","7775","8081"
"201107","8183","8303"
"201108","9012","8854"
"201109","8308","8485"
"201110","8133","8693"
"201111","8806","9803"
"201112","8420","9358"
"201201","9722","10324"
"201202","10129","11201"
"201203","10883","12692"
"201204","10864","12301"
"201205","11724","12455"
"201206","11427","11331"
"201207","12543","12510"
"201208","12619","12471"
"201209","11315","11861"
"201210","12583","13783"
"201211","12556","13901"
"201212","11923","12707"
"201301","14048","14060"
"201302","14004","14153"
"201303","15637","16313"
"201304","15657","16633"
"201305","15215","15629"
"201306","14797","14251"
"201307","17066","15455"
"201308","17049","15264"
"201309","17930","16557"
"201310","20003","19115"
"201311","18759","19095"
"201312","18273","17790"
"201401","21417","19010"
"201402","21464","19688"
"201403","23054","22448"
"201404","22174","21699"
"201405","22075","20190"
"201406","20477","17958"
"201407","22350","19494"
"201408","20699","17563"
"201409","20266","18809"
"201410","21373","20091"
"201411","20330","20130"
"201412","18890","18293"
"201501","20736","18430"
"201502","20919","18778"
"201503","23465","22641"
"201504","20342","19921"