date,Java,C,C++,C#,Python,PHP,Visual Basic .NET,JavaScript,Assembly language,Ruby
20010630,26.492,20.24,14.2,0.385,1.25,1.897,,1.547,,
20010730,25.028,20.773,16.111,0.429,1.135,1.378,,1.723,,
20010830,24.66,20.747,16.124,0.384,1.197,1.553,,1.66,,
20010928,24.817,20.772,15.852,0.391,1.17,1.552,,1.629,,
20011026,25.676,19.751,16.097,0.424,1.284,1.778,,1.511,,
20011128,24.369,19.212,15.673,0.764,1.234,4.874,,1.466,,
20011231,24.195,20.136,14.963,0.591,1.043,7.274,,1.456,,
20020130,24.063,18.825,15.182,0.616,1.017,8.274,,2.725,,
20020227,24.005,19.888,15.537,0.744,0.987,7.442,,1.476,,0.19
20020329,24.409,19.852,15.912,0.741,0.989,7.029,,1.468,,0.189
20020429,25.049,19.82,15.372,1.178,1.069,5.049,,1.366,,0.43
20020529,25.195,19.987,14.857,1.164,1.057,5.215,,1.363,,0.426
20020629,24.196,19.573,14.179,1.464,1.125,5.178,,1.433,,0.441
20020731,24.534,19.251,14.939,1.36,1.081,6.498,,1.154,,0.394
20020829,22.886,18.162,14.769,1.464,1.217,5.349,,2.022,,0.383
20020929,24.482,18.695,15.897,1.653,1.081,4.96,,1.908,,0.372
20021030,24.201,18.727,15.035,1.78,1.187,5.275,,1.978,,0.356
20021129,24.116,17.505,13.644,2.38,1.005,7.298,,2.486,,0.331
20021231,24.227,17.259,13.186,2.455,1.002,7.611,,2.423,,0.309
20030131,24.791,18.249,14.634,1.986,1.033,4.493,,2.915,,0.326
20030228,24.775,18.54,15.533,1.976,0.974,4.009,,2.806,,0.306
20030331,24.596,17.213,14.572,2.377,0.988,4.606,,2.626,,0.289
20030430,24.664,18.017,15.801,1.884,1.007,4.533,,3.256,,0.227
20030530,23.108,18.501,15.584,1.935,1.161,4.783,,1.715,,0.25
20030630,22.337,18.516,16.719,1.776,1.285,3.833,,1.686,,0.189
20030731,23.209,17.969,16.577,2.001,1.297,4.679,,1.791,,0.189
20030831,22.242,17.776,17.531,2.062,1.425,5.436,,1.897,,0.192
20030930,21.902,18.309,16.173,1.94,1.486,5.795,,1.656,,0.191
20031031,23.084,17.002,16.312,1.899,1.766,3.57,,1.918,,0.259
20031130,25.008,18.473,17.422,1.705,1.097,5.736,,1.738,,0.162
20031231,23.573,18.6,16.083,1.799,1.125,6.311,,1.745,,0.159
20040131,22.564,18.195,15.71,2.177,1.006,7.257,,2.138,,0.147
20040229,23.173,18.928,14.5,2.237,1.018,7.631,,2.063,,0.157
20040331,24.24,17.75,15.99,2.137,1.008,9.761,,1.783,,0.196
20040430,18.692,17.951,12.27,1.877,4.565,7.171,,1.778,,0.153
20040530,17.539,18.29,12.548,1.649,6.579,8.71,,1.45,,0.162
20040630,17.055,17.144,13.442,1.666,4.963,10.323,,1.61,,0.155
20040731,16.997,16.335,15.306,1.633,4.704,10.427,,1.681,,0.154
20040830,15.896,17.122,14.916,1.634,5.597,8.231,,1.51,,0.124
20040930,17.05,18.172,15.016,1.644,4.438,7.421,,1.267,,0.176
20041031,14.804,17.992,13.865,1.504,5.2,7.586,,1.195,,0.176
20041130,16.332,19.696,11.914,1.947,3.029,11.448,,1.595,,0.222
20041231,17.478,20.709,11.927,2.203,2.842,9.482,,1.703,,0.241
20050131,18.34,19.82,11.337,2.363,2.506,10.278,,1.779,,0.236
20050228,18.871,19.465,11.632,2.527,2.424,9.41,,1.65,,0.285
20050331,16.981,18.63,10.191,2.82,2.697,8.724,,1.642,,0.297
20050430,17.397,18.522,9.903,2.767,2.48,9.201,,1.443,,0.314
20050531,18.569,19.368,9.722,2.783,2.802,7.974,,1.387,,0.379
20050630,19.659,19.846,11.06,3.142,2.525,9.172,,1.779,,0.303
20050731,21.206,19.473,10.514,3.485,2.883,7.873,,1.921,,0.266
20050831,22.442,19.16,11.168,3.29,3.032,8.895,,1.768,,0.29
20050930,21.871,18.773,11.82,3.462,2.882,9.671,,2.036,,0.32
20051203,22.128,19.632,11.027,3.31,2.678,9.629,,1.838,,0.318
20060104,22.255,19.008,11.465,3.555,2.605,9.402,,1.538,,0.371
20060202,22.43,18.33,11.295,3.972,2.669,8.916,,1.512,,0.408
20060301,21.889,17.794,11.159,3.146,3.093,9.948,,1.733,,0.466
20060402,21.275,17.688,10.9,3.948,2.759,10.88,,1.567,,0.493
20060501,21.316,17.69,10.935,3.271,3.042,10.22,,2.191,,0.456
20060601,21.128,18.253,10.67,3.238,3.464,9.593,,1.456,,0.479
20060702,21.853,17.829,9.779,3.401,3.017,10.35,,2.108,,0.506
20060802,22.377,17.43,10.254,2.683,3.071,9.639,,2.019,,0.804
20060902,21.532,18.059,10.753,2.992,3.144,9.128,,2.442,,0.938
20061001,21.172,17.664,11.063,3.065,3.466,9.862,,2.202,,1.082
20061102,20.4,17.198,11.055,3.023,3.641,9.209,,2.31,,1.717
20061201,19.907,16.616,10.409,3.171,3.762,8.537,,2.562,,2.334
20070102,19.16,15.807,10.425,3.521,3.502,7.943,,2.845,,2.519
20070203,18.978,16.104,10.768,3.189,3.566,8.847,,2.982,,2.528
20070303,18.044,15.633,11.109,3.365,3.897,9.458,,3.485,,2.773
20070401,18.36,14.937,10.718,3.551,3.814,8.639,,3.137,,2.798
20070505,19.14,15.152,10.114,3.656,3.779,8.738,,3.072,,2.632
20070602,20.025,15.967,11.118,3.483,3.161,8.871,,2.616,,2.132
20070702,21.014,16.363,10.502,3.71,3.024,8.653,,2.515,,2.099
20070805,21.768,15.699,10.111,3.987,2.749,9.696,,2.575,,1.906
20070902,21.701,14.908,9.938,3.583,3.025,10.204,,2.722,,2.065
20071004,21.616,14.591,9.584,3.74,3.433,9.498,,2.685,,2.386
20071104,20.542,13.969,8.75,3.917,4.227,8.687,,2.928,,3.084
20071203,20.049,13.173,7.871,3.994,4.697,8.393,,2.733,,3.089
20080103,20.849,13.916,8.73,4.856,5.538,9.195,,3.203,,2.345
20080207,21.483,14.859,9.274,4.51,4.763,9.89,,2.334,,1.862
20080601,20.89,15.513,10.806,4.058,4.899,10.206,,2.927,,2.64
20080702,21.345,15.945,10.693,4,4.973,9.525,,2.757,,2.735
20080803,21.571,16.178,10.057,3.697,4.975,9.349,,2.892,,2.92
20080903,20.715,15.379,10.716,4.334,5.012,9.243,,3.13,,2.762
20081006,20.949,15.565,10.954,3.767,4.565,8.612,,2.67,,2.86
20081102,20.299,15.276,10.357,4.026,5.14,8.94,,2.925,,2.87
20081203,17.917,15.017,10.096,4.578,4.169,9.128,,2.972,,4.034
20090102,19.022,15.931,10.116,5.609,4.731,8.882,,3.36,,3.149
20090201,19.401,15.837,9.633,5.062,4.567,8.779,,3.54,,3.278
20090305,19.797,15.862,10.357,4.321,5.185,9.485,,3.607,,2.601
20090407,19.341,15.472,10.741,4.059,6.08,9.888,,3.678,,2.569
20090501,19.537,16.128,11.068,4.266,5.548,9.921,,3.548,,2.692
20090604,20.147,16.779,10.594,4.536,4.756,9.675,,4.021,,2.629
20090702,20.452,17.319,10.419,4.54,4.435,9.269,,3.513,,2.567
20090801,19.527,17.22,10.501,4.443,4.489,9.39,,2.812,,2.49
20090905,19.383,16.861,9.988,4.186,3.93,10.156,,2.995,,2.377
20091002,18.65,16.843,9.879,4.417,3.901,10.355,,3.025,,2.45
20091102,18.373,17.315,10.002,5.346,4.672,10.176,,2.916,,2.404
20091202,17.061,16.285,9.175,6.258,5.185,9.77,,3.515,,2.653
20100105,17.482,16.215,9.709,5.767,4.453,10.071,,2.707,,2.474
20100207,17.348,16.602,9.447,5.015,4.314,10.001,,2.636,,2.439
20100307,17.509,17.279,9.61,4.264,4.23,9.908,,2.651,,2.327
20100405,18.051,18.058,9.707,4.435,4.205,9.662,,2.469,,2.221
20100515,17.957,18.186,10.378,4.779,4.097,9.073,,2.084,,2.094
20100706,18.673,18.48,10.469,5.73,4.217,8.566,,2.432,,1.982
20100730,17.994,17.866,9.658,4.986,4.223,9.18,,2.401,,1.979
20100911,17.915,17.147,9.812,5.016,4.583,8.37,0.328,1.665,,1.907
20101002,18.166,17.177,9.802,4.963,4.86,8.323,0.325,1.659,,1.941
20101103,18.509,16.717,9.497,5.706,5.679,7.813,0.323,1.664,,1.907
20101207,17.999,16.076,9.014,6.687,6.482,7.511,0.259,1.509,0.663,1.78
20110102,17.773,15.822,8.783,6.226,6.265,7.835,0.263,1.589,0.864,1.784
20110208,18.482,14.986,8.187,6.809,7.038,6.973,0.588,2.558,1.269,1.615
20110308,19.711,15.262,8.754,7.21,5.737,6.566,0.563,1.866,1.345,1.498
20110403,19.043,16.162,9.225,7.185,4.931,6.584,0.342,1.513,0.967,1.482
20110502,18.16,16.17,9.146,7.539,4.583,6.508,0.479,1.394,1.042,1.421
20110605,18.58,16.278,9.83,6.844,3.899,6.602,0.434,1.501,0.673,1.484
20110627,18.58,16.278,9.83,6.844,3.899,6.602,0.434,1.501,0.673,1.484
20110708,19.251,17.28,9.017,6.221,3.583,6.179,0.484,2.242,0.618,1.325
20110803,19.409,17.39,8.433,6.042,3.415,6.134,0.464,1.557,0.599,1.329
20110910,18.761,18.002,8.849,6.819,4,6.596,0.309,1.469,0.59,1.434
20111009,17.913,17.707,9.072,6.723,3.944,6.818,0.481,2.191,0.622,1.526
20111107,17.874,17.322,8.084,7.319,3.617,6.096,0.533,2.565,0.529,1.502
20111204,17.561,17.057,8.252,8.205,3.492,6.001,0.364,2.199,0.563,1.494
20120108,17.468,16.967,8.052,8.763,3.213,5.703,0.479,2.316,0.545,1.437
20120205,17.05,16.523,7.853,8.653,3.148,5.641,0.796,2.465,0.52,1.558
20120311,17.11,17.087,8.047,8.244,3.291,5.555,0.784,3.386,0.428,1.413
20120408,17.026,17.555,8.896,7.348,3.665,5.288,0.978,2.879,0.47,1.51
20120509,16.599,17.346,9.825,6.823,3.819,5.711,1.274,2.135,0.517,1.451
20120610,16.265,17.725,9.358,7.026,3.848,5.287,1.216,1.474,0.538,1.683
20120704,16.087,18.331,9.118,6.668,4,5.012,0.917,1.454,0.548,1.768
20120810,16.352,18.937,9.333,6.59,3.876,5.524,0.877,1.365,0.502,1.691
20120902,16.267,19.295,9.147,6.596,3.861,5.614,0.84,1.328,0.53,1.724
20121005,17.193,19.822,9.26,6.53,3.895,5.669,0.599,1.261,0.568,1.802
20121104,17.455,19.224,9.698,5.591,4.062,5.732,0.769,1.278,0.585,1.739
20121202,17.567,18.696,9.203,5.547,3.848,5.541,0.889,1.321,0.58,1.728
20130105,17.417,17.855,9.14,6.196,4.173,5.546,1.043,1.976,0.629,1.775
20130208,18.387,17.08,8.758,6.68,4.949,5.074,1.007,1.423,0.64,1.752
20130311,18.156,17.141,9.115,6.597,4.388,4.809,0.888,1.37,0.633,2.15
20130407,17.681,17.862,9.714,6.15,4.442,5.428,1.095,1.509,0.71,1.972
20130508,16.914,18.729,9.198,6.119,4.322,5.784,1.131,1.536,0.638,1.67
20130609,16.656,17.809,8.819,5.783,4.183,5.987,1.067,1.654,0.5,1.479
20130707,15.906,17.628,8.749,6.212,4.035,7.186,1.254,1.844,0.581,1.582
20130712,15.906,17.628,8.749,6.212,4.035,7.186,1.254,1.844,0.581,1.582
20130804,15.978,15.974,9.371,6.117,3.603,6.694,1.32,2.093,0.616,2.067
20130911,16.154,16.975,8.664,5.564,3.169,6.43,1.844,2.015,0.48,1.382
20131010,16.107,17.246,8.664,5.718,3.107,6.094,1.933,2.038,0.471,1.246
20131109,16.521,18.155,8.369,6.024,3.11,5.379,1.969,2.05,0.532,1.303
20131206,17.311,17.89,8.268,5.62,2.21,5.281,1.688,1.852,0.583,0.932
20140101,16.523,17.944,7.562,5.85,2.373,4.608,1.557,1.576,0.491,1.062
20140208,17.316,18.334,6.892,6.45,2.157,4.219,1.798,1.929,0.402,0.924
20140303,16.406,17.535,6.313,5.572,2.021,3.698,1.862,1.899,0.732,0.974
20140410,17.348,17.631,6.137,4.82,1.993,2.773,1.748,1.75,0.853,1.745
20140507,16.907,16.926,5.986,3.745,3.057,3.386,1.264,1.788,0.773,1.242
20140608,16.113,16.191,6.425,3.944,2.71,2.848,1.914,2,0.771,1.392
20140706,15.688,17.145,5.52,4.051,2.656,2.916,1.495,1.806,0.777,1.072
20140811,14.984,16.401,4.695,3.409,3.121,2.864,1.31,2.172,0.654,1.242
20140901,14.14,16.721,4.674,4.352,2.782,3.121,1.532,2.448,0.582,1.281
20141003,13.506,17.655,4.868,4.748,2.333,2.942,1.751,1.771,0.411,1.128
20141108,14.391,17.469,6.098,4.985,2.589,3.043,2.061,2.088,0.599,1.211
20141207,14.959,17.588,6.104,4.328,2.287,2.746,2.235,2.433,0.523,0.978
20150106,15.528,16.703,6.705,5.045,2.613,3.784,1.074,3.274,1.171,1.13
20150205,15.345,16.488,6.612,5.738,2.882,3.17,2.026,3.514,0.751,0.873
20150307,15.58,16.642,6.636,4.923,2.614,3.997,2.326,3.629,0.62,1.03
20150413,16.041,15.745,6.962,4.947,2.69,3.009,2.126,3.297,0.656,1.068
20150513,16.869,16.847,7.875,5.264,3.725,2.72,2.968,3.127,0.761,1.273
20150606,17.822,16.788,7.756,5.056,3.999,2.868,3.168,2.295,0.754,1.359
20150712,17.728,16.147,8.641,5.652,4.257,2.893,2.423,2.194,1.535,1.378
20150806,19.274,14.732,7.735,4.837,4.066,2.729,2.708,2.162,1.76,1.416
20150905,19.565,15.621,6.782,4.909,3.664,2.53,2.062,2.342,1.806,1.783
20151004,19.543,16.19,5.749,4.825,4.512,2.561,2.462,2.292,1.573,1.825
20151107,20.403,17.145,6.198,4.318,3.771,3.248,2.223,2.473,1.883,2.038
20151204,20.973,16.46,5.943,4.114,4.429,2.792,2.39,2.363,1.926,2.061
20151229,21.465,16.036,6.914,4.707,3.854,2.706,2.582,2.565,2.095,2.047
